,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Pts.,Spr.,Pokémon,Tera,,,Pts.,Spr.,Pokémon,Tera,,,Pts.,Spr.,Pokémon,Tera,,,Pts.,Spr.,Pokémon,Tera,,,Pts.,Spr.,Pokémon,Tera,,,Pts.,Spr.,Pokémon,Tera,,,Pts.,Spr.,Pokémon,Tera,,,Pts.,Spr.,Pokémon,Tera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tera Types,,,Coach:,,#1,,Kingdozo,,,,#2,,Cai,,,,#3,,Trainerblack,,,,#4,,H7795,,,,#5,,Aiden,,,,#6,,Crunchy,,,,#7,,Kuma,,,,#8,,NickNob,
,,,,,Pick #1:,,150,,Iron Treads,,,,180,,Iron Valiant,,,,180,,Dragapult,,,,150,,Excadrill,,,,150,,Jirachi,,,,160,,Walking Wake,,,,180,,Chien-Pao,,,,170,,Darkrai,
,,Normal,,,Pick #2:,,150,,Galarian Slowking,,,,160,,Latios,,,,140,,Rillaboom,,,,140,,Tyranitar,,,,110,,Paldean Tauros Aqua,,,,90,,Ninetales,,,,160,,Annihilape,,,,170,,Baxcalibur,
,,Fire,,,Pick #3:,,160,,Greninja,,,,150,,Gliscor,,,,70,,Jolteon,,,,70,,Houndstone,,,,90,,Galarian Articuno,,,,110,,Pelipper,,,,140,,Dragonite,,,,180,,Spectrier,
,,Water,,,Pick #4:,,80,,Comfey,,,,130,,Suicune,,,,130,,Lycanroc-Dusk,,,,100,,Rotom-Mow,,,,140,,Infernape,,,,100,,Fezandipiti,,,,150,,Iron Moth,,,,180,,Deoxys-Speed,
,,Electric,,,Pick #5:,,20,,Hisuian Avalugg,,,,110,,Entei,,,,110,,Clodsire,,,`,110,,Paldean Tauros Blaze,,,,70,,Bellibolt,,,,130,,Raging Bolt,,,,130,,Metagross,,,,110,,Scream Tail,
,,Grass,,,Pick #6:,,130,,Ogerpon-Cornerstone,,,,120,,Raikou,,,,110,,Grimmsnarl,,,,80,,Florges,,,,100,,Overqwil,,,,100,,Umbreon,,,,120,,Primarina,,,,80,,Quagsire,
,,Ice,,,Pick #7:,,140,,Kommo-o,,,,90,,Decidueye,,,,100,,Snorlax,,,,130,,Iron Hands,,,,70,,Sinistcha,,,,110,,Donphan,,,,80,,Tsareena,,,,80,,Venomoth,
,,Fighting,,,Pick #8:,,140,,Rotom-Wash,,,,80,,Forretress,,,,90,,Bronzong,,,,140,,Gengar,,,,160,,Garchomp,,,,90,,Ribombee,,,,90,,Hisuian Electrode,,,,80,,Brambleghast,
,,Poison,,,Pick #9:,,30,,Magmar,,,,80,,Frosmoth,,,,80,,Hitmontop,,,,100,,Iron Leaves,,,,160,,Meowscarada,,,,60,,Poliwrath,,,,80,,Mudsdale,,,,30,,Honchkrow,
,,Ground,,,Pick #10:,,160,,Tornadus-Therian,,,,60,,Grafaiai,,,,70,,Politoed,,,,110,,Milotic,,,,40,,Volbeat,,,,140,,Necrozma,,,,30,,Dusclops,,,,120,,Hisuian Arcanine,
,,,,,Pick #11:,,40,,Drifblim,,,,30,,Naclstack,,,,120,,Moltres,,,,70,,Vikavolt,,,,30,,Chimecho,,,,110,,Klefki,,,,40,,Probopass,,,,,,,
,,,,,Pick #12:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pts.Rem.:,,0,,,,,,10,,,,,,0,,,,,,0,,,,,,80,,,,,,0,,,,,,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Flying,,,Coach:,,#9,,ApointlessBee,,,,#10,,Dr.Rizz,,,,#11,,BumbleZ,,,,#12,,Pickle,,,,#13,,WhiteRaven,,,,#14,,DayX,,,,#15,,,,,,#16,,,
,,Psychic,,,Pick #1:,,180,,Gouging Fire,,,,160,,Ursaluna-Bloodmoon,,,,150,,Latias,,,,150,,Kyurem,,,,180,,Chi-Yu,,,,140,,Hydrapple,,,,,,,,,,,,,
,,Bug,,,Pick #2:,,160,,Ogerpon-Wellspring,,,,160,,Cinderace,,,,150,,Heatran,,,,170,,Great Tusk,,,,150,,Dondozo,,,,160,,Ogerpon-Hearthflame,,,,,,,,,,,,,
,,Rock,,,Pick #3:,,130,,Alolan Ninetales,,,,130,,Scizor,,,,50,,Ditto,,,,160,,Iron Boulder,,,,140,,Corviknight,,,,140,,Clefable,,,,,,,,,,,,,
,,Ghost,,,Pick #4:,,150,,Gholdengo,,,,80,,Galarian Weezing,,,,120,,Enamorus-Therian,,,,130,,Iron Jugulis,,,,100,,Galvantula,,,,90,,Porygon2,,,,,,,,,,,,,
,,Dragon,,,Pick #5:,,110,,Regieleki,,,,140,,Thundurus-Therian,,,,100,,Blastoise,,,,110,,Sylveon,,,,120,,Hisuian Zoroark,,,,130,,Toxapex,,,,,,,,,,,,,
,,Dark,,,Pick #6:,,120,,Slither Wing,,,,110,,Vaporeon,,,,160,,Sneasler,,,,130,,Glimmora,,,,150,,Ursaluna,,,,140,,Ting-Lu,,,,,,,,,,,,,
,,Steel,,,Pick #7:,,130,,Hoopa-Unbound,,,,140,,Azelf,,,,90,,Glastrier,,,,80,,Duraludon,,,,90,,Dudunsparce,,,,40,,Crocalor,,,,,,,,,,,,,
,,Fairy,,,Pick #8:,,150,,Keldeo,,,,110,,Mienshao,,,,150,,Landorus-Therian,,,,90,,Kilowattrel,,,,80,,Revavroom,,,,180,,Deoxys-Defense,,,,,,,,,,,,,
,,Stellar,,,Pick #9:,,30,,Bastiodon,,,,40,,Sableye,,,,170,,Roaring Moon,,,,140,,Skeledirge,,,,50,,Dachsbun,,,,170,,Kingambit,,,,,,,,,,,,,
,,,,,Pick #10:,,20,,Ariados,,,,80,,Cyclizar,,,,50,,Smeargle,,,,40,,Duosion,,,,70,,Wo-Chien,,,,10,,Minun,,,,,,,,,,,,,
,,,,,Pick #11:,,20,,Hisuian Zorua,,,,50,,Dunsparce,,,,10,,Bronzor,,,,,,,,,,50,,Paldean Tauros,,,,,,,,,,,,,,,,,,,
,,,,,Pick #12:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pts.Rem.:,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,,,,,,0,,,,,,1200,,,,,,1200,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
