,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,
,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.,,,Spr.,Pokémon,K.,D.,,D.,K.,Pokémon,Spr.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Week #1,,,,,,,,,,,Week #2,,,,,,,,,,,Week #3,,,,,,,,,,,Week #4,,,,,,,,,,,Week #5,,,,,,,,,,,Week #6,,,,,,,,,,,Week #7,,,,,,,,,,,Week #8,,,,,,,,,,,Week #9,,,,,,,,,,,Week #10,,,,,,,,
,,,,Mug,L,-2,vs.,2,W,Nightmare,,,,,Za,W,5,vs.,-5,L,Doncolbus,,,,,Za,W,4,vs.,-4,L,Krook,,,,,Merry,W,3,vs.,-3,L,Orange,,,,,Nightmare,W,4,vs.,-4,L,Ben,,,,,Mug,L,-1,vs.,1,W,Drew,,,,,Orange,W,1,vs.,-1,L,Mug,,,,,Mug,W,2,vs.,-2,L,Za,,,,,,,,vs.,,,,,,,,,,,vs.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alolan Ninetales,0,1,,1,0,Meowscarada,,,,,Iron Valiant,2,0,,1,0,Rillaboom,,,,,Landorus-Therian,3,1,,1,1,Darkrai,,,,,Skarmory,1,0,,1,1,Tinkaton,,,,,Skeledirge,2,0,,1,1,Chi-Yu,,,,,Infernape,0,1,,1,1,Whimsicott,,,,,Deoxys-Speed,0,1,,1,0,Scream Tail,,,,,Latias,1,1,,1,0,Lurantis,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alolan Sandslash,0,1,,0,0,Hariyama,,,,,Landorus-Therian,1,0,,1,1,Ursaluna-Bloodmoon,,,,,Baxcalibur,1,1,,1,1,Garchomp,,,,,Deoxys-Defense,1,1,,1,0,Toxtricity,,,,,Meowscarada,2,0,,1,1,Donphan,,,,,Walking Wake,2,1,,1,1,Kyurem,,,,,Tinkaton,0,1,,1,2,Ting-Lu,,,,,Scream Tail,2,1,,1,0,Landorus-Therian,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ursaluna,2,1,,1,1,Forretress,,,,,Baxcalibur,2,0,,1,0,Sneasler,,,,,Primarina,0,0,,1,0,Glimmora,,,,,Ribombee,1,0,,1,1,Great Tusk,,,,,Gliscor,0,1,,1,0,Jirachi,,,,,Alolan Sandslash,0,1,,1,0,Greninja,,,,,Gengar,5,0,,1,2,Tyranitar,,,,,Ting-Lu,0,1,,1,0,Galarian Slowking,,,,,,,,,,,,,,,,,,,,,,,
,,,,Thundurus-Therian,0,1,,1,1,Alomomola,,,,,Galarian Slowking,0,1,,1,0,Rotom-Wash,,,,,Iron Valiant,0,0,,1,0,Slowking,,,,,Roaring Moon,2,0,,1,1,Tornadus-Therian,,,,,Alomomola,0,0,,1,0,Sinistcha,,,,,Mismagius,1,1,,1,1,Hitmonchan,,,,,Porygon-Z,0,1,,1,0,Vikavolt,,,,,Vikavolt,1,0,,1,0,Baxcalibur,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mismagius,0,1,,0,4,Keldeo,,,,,Primarina,0,0,,1,0,Cobalion,,,,,Regieleki,1,0,,1,0,Scizor,,,,,Toedscruel,0,1,,1,0,Deoxys-Speed,,,,,Hariyama,0,1,,1,0,Raging Bolt,,,,,Ogerpon-Wellspring,1,1,,0,2,Alolan Muk,,,,,Great Tusk,0,1,,1,0,Moltres,,,,,Tyranitar,2,0,,1,0,Naclstack,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ogerpon-Wellspring,2,1,,1,0,Gliscor,,,,,Incineroar,1,0,,1,0,Diancie,,,,,Heatran,1,0,,1,0,Ogerpon-Hearthflame,,,,,Annihilape,1,1,,1,0,Ogerpon,,,,,Keldeo,2,0,,1,0,Pechurant,,,,,Thundurus-Therian,1,1,,1,1,Golurk,,,,,Ogerpon,1,1,,1,1,Klefki,,,,,Phione,0,1,,1,3,Iron Valiant,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Natty,L,-4,vs.,4,W,Ben,,,,,Krook,L,-2,vs.,2,W,Orange,,,,,Fix,W,2,vs.,-2,L,Doncolbus,,,,,Ben,W,3,vs.,-3,L,Za,,,,,Drew,W,4,vs.,-4,L,Natty,,,,,FireAnt,L,-4,vs.,4,W,Za,,,,,Doncolbus,L,-1,vs.,1,W,FireAnt,,,,,Void,W,4,vs.,-4,L,Orange,,,,,,,,vs.,,,,,,,,,,,vs.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ogerpon-Cornerstone,1,1,,0,4,Chi-Yu,,,,,Darkrai,0,1,,0,1,Great Tusk,,,,,Okidogi,0,1,,1,1,Diancie,,,,,Quaquaval,0,1,,1,0,Landorus-Therian,,,,,Electivire,2,1,,1,1,Iron Treads,,,,,Krookodile,0,1,,0,0,Galarian Slowking,,,,,Hoopa-Unbound,1,1,,1,2,Galarian Zapdos,,,,,Thundurus-Therian,1,0,,1,0,Deoxys-Speed,,,,,,,,,,,,,,,,,,,,,,,
,,,,Iron Treads,0,1,,1,0,Quaquaval,,,,,Oricorio-Sensu,0,1,,1,0,Deoxys-Speed,,,,,Florges,0,0,,1,2,Sneasler,,,,,Jirachi,2,0,,1,2,Heatran,,,,,Greninja,3,0,,1,0,Enamorus-Therian,,,,,Galarian Zapdos,1,1,,1,2,Baxcalibur,,,,,Ursaluna-Bloodmoon,1,1,,1,1,Gouging Fire,,,,,Clefable,0,0,,1,0,Milotic,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paldean Tauros Aqua,0,1,,0,1,Sinistcha,,,,,Ogerpon-Hearthflame,2,1,,1,2,Tinkaton,,,,,Cinderace,1,1,,1,0,Revavroom,,,,,Donphan,2,1,,1,1,Iron Valiant,,,,,Alolan Muk,1,1,,1,0,Paldean Tauros Aqua,,,,,Tentacruel,0,1,,0,0,Landorus-Therian,,,,,Hisuian Goodra,0,1,,1,0,Gholdengo,,,,,Iron Boulder,0,1,,1,1,Gengar,,,,,,,,,,,,,,,,,,,,,,,
,,,,Polteageist,1,1,,0,0,Jirachi,,,,,Glimmora,1,1,,0,2,Tornadus-Therian,,,,,Chien-Pao,4,0,,1,0,Mandibuzz,,,,,Volbeat,2,0,,1,0,Incineroar,,,,,Kyurem,0,0,,1,0,Arboliva,,,,,Appletun,0,1,,0,3,Primarina,,,,,Clawitzer,1,1,,0,2,Hisuian Electrode,,,,,Spectrier,4,0,,1,0,Porygon-Z,,,,,,,,,,,,,,,,,,,,,,,
,,,,Armarouge,0,1,,0,1,Volbeat,,,,,Garchomp,0,1,,1,0,Milotic,,,,,Ting-Lu,0,1,,1,1,Rotom-Wash,,,,,Comfey,0,1,,1,0,Primarina,,,,,Mew,0,0,,1,0,Mamoswine,,,,,Gholdengo,0,1,,0,0,Regieleki,,,,,Sneasler,1,1,,1,1,Enamorus-Incarnate,,,,,Flygon,1,1,,1,1,Great Tusk,,,,,,,,,,,,,,,,,,,,,,,
,,,,Galarian Weezing,0,1,,1,0,Donphan,,,,,Cyclizar,1,1,,1,1,Toxtricity,,,,,Thundurus-Incarnate,1,1,,1,0,Ursaluna-Bloodmoon,,,,,Pechurant,0,0,,1,0,Baxcalibur,,,,,Metagross,0,0,,1,0,Latios,,,,,Enamorus-Incarnate,1,1,,1,1,Incineroar,,,,,Diancie,1,1,,1,0,Tentacruel,,,,,Slither Wing,0,0,,1,0,Crocalor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FireAnt,L,-2,vs.,2,W,Void,,,,,Merry,L,-1,vs.,1,W,Nightmare,,,,,Orange,L,-5,vs.,5,W,Ben,,,,,Nightmare,W,5,vs.,-5,L,Natty,,,,,Fix,L,-2,vs.,2,W,Krook,,,,,Doncolbus,W,2,vs.,-2,L,Merry,,,,,Krook,L,-5,vs.,5,W,Merry,,,,,Doncolbus,W,2,vs.,-2,L,Natty,,,,,,,,vs.,,,,,,,,,,,vs.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Galarian Zapdos,1,1,,0,3,Spectrier,,,,,Ribombee,0,1,,1,0,Meowscarada,,,,,Great Tusk,1,1,,0,2,Chi-Yu,,,,,Meowscarada,1,0,,1,0,Ogerpon-Cornerstone,,,,,Chien-Pao,0,1,,0,1,Scizor,,,,,Diancie,3,1,,1,4,Ribombee,,,,,Darkrai,1,1,,0,2,Ribombee,,,,,Hoopa-Unbound,2,1,,1,0,Galarian Weezing,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tentacruel,0,1,,0,2,Flygon,,,,,Roaring Moon,2,1,,1,0,Electrode,,,,,Crocalor,0,1,,0,2,Volbeat,,,,,Keldeo,0,0,,1,0,Mamoswine,,,,,Cinderace,2,1,,1,0,Glimmora,,,,,Hoopa-Unbound,1,0,,1,0,Lycanroc-Dusk,,,,,Sylveon,0,1,,0,0,Roaring Moon,,,,,Sneasler,2,1,,1,0,Paldean Tauros Aqua,,,,,,,,,,,,,,,,,,,,,,,
,,,,Krookodile,1,1,,1,0,Galvantula,,,,,Iron Moth,0,1,,1,1,Gliscor,,,,,Tornadus-Therian,0,1,,0,2,Donphan,,,,,Forretress,0,0,,1,1,Rotom-Mow,,,,,Thundurus-Incarnate,0,1,,1,3,Darkrai,,,,,Rotom-Wash,0,1,,1,0,Skarmory,,,,,Garchomp,0,1,,1,2,Skarmory,,,,,Rotom-Wash,0,0,,1,0,Enamorus-Therian,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gholdengo,1,1,,1,0,Blastoise,,,,,Annihilape,1,1,,1,0,Hatterene,,,,,Tinkaton,0,1,,0,0,Jirachi,,,,,Gliscor,0,0,,1,0,Galarian Weezing,,,,,Okidogi,2,1,,0,1,Ogerpon-Hearthflame,,,,,Sneasler,1,0,,1,0,Blissey,,,,,Glimmora,0,1,,0,1,Hisuian Zoroark,,,,,Diancie,0,1,,1,1,Iron Treads,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cresselia,0,1,,0,0,Clefable,,,,,Skarmory,0,1,,1,1,Skeledirge,,,,,Deoxys-Speed,0,1,,1,0,Sinistcha,,,,,Alcremie,3,0,,1,0,Armarouge,,,,,Empoleon,0,1,,1,0,Garchomp,,,,,Ursaluna-Bloodmoon,0,1,,1,0,Hisuian Zoroark,,,,,Cyclizar,0,1,,0,1,Lycanroc-Dusk,,,,,Ursaluna-Bloodmoon,1,0,,1,1,Latios,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gouging Fire,1,1,,1,1,Iron Boulder,,,,,Lanturn,2,1,,0,3,Keldeo,,,,,Ogerpon,0,1,,0,0,Raging Bolt,,,,,Hatterene,1,1,,1,0,Paldean Tauros Aqua,,,,,Florges,0,1,,1,1,Cyclizar,,,,,Hisuian Goodra,1,1,,1,0,Iron Moth,,,,,Ogerpon-Hearthflame,0,1,,0,0,Iron Moth,,,,,Hisuian Goodra,1,1,,1,2,Mamoswine,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Merry,W,5,vs.,-5,L,Taye,,,,,Natty,W,1,vs.,-1,L,Void,,,,,Natty,W,4,vs.,-4,L,Taye,,,,,Krook,L,-1,vs.,1,W,Doncolbus,,,,,Doncolbus,L,-1,vs.,1,W,Mug,,,,,Ben,L,-4,vs.,3,W,Krook,,,,,Fix,L,-4,vs.,3,W,Ben,,,,,Krook,W,1,vs.,-1,L,FireAnt,,,,,,,,vs.,,,,,,,,,,,vs.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Deoxys-Defense,1,1,,1,0,Coalossal,,,,,Mamoswine,1,1,,1,0,Archaludon,,,,,Mabosstiff,0,1,,1,1,Dragapult,,,,,Slowking,2,1,,0,2,Sneasler,,,,,Revavroom,0,1,,0,3,Phione,,,,,,,,,,,,,,,,,,,,,,,,,,,Primeape,0,1,,1,0,Tentacruel,,,,,,,,,,,,,,,,,,,,,,,
,,,,Blissey,0,0,,1,0,Corviknight,,,,,Mabosstiff,1,0,,1,2,Iron Boulder,,,,,Rotom-Mow,1,0,,1,1,Azelf,,,,,Darkrai,1,1,,1,1,Ursaluna-Bloodmoon,,,,,Mandibuzz,0,1,,1,0,Alolan Ninetales,,,,,,,,,,,,,,,,,,,,,,,,,,,Garchomp,0,1,,1,0,Enamorus-Incarnate,,,,,,,,,,,,,,,,,,,,,,,
,,,,Skarmory,0,0,,1,0,Dragapult,,,,,Ogerpon-Cornerstone,0,1,,1,1,Spectrier,,,,,Galarian Weezing,0,0,,1,0,Coalossal,,,,,Cyclizar,1,1,,1,1,Rotom-Wash,,,,,Rillaboom,3,1,,1,1,Alolan Sandslash,,,,,,,,,,,,,,,,,,,,,,,,,,,Slowking,0,1,,1,1,Gouging Fire,,,,,,,,,,,,,,,,,,,,,,,
