,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Week 1,,,,,,,,,,Week 2,,,,,,,,,,Week 3,,,,,,,,,,Week 4,,,,,,,,,,Week 5,,,,,,,,,,Week 6,,,,,,,,,,Week 7,,,,,,,,,,Week 8,,,,,,,,,,Week 9,,,,,,,,,,Week 10,,,,,,,,,,Week 11,,,,,,,,,,Week 12,,,,,
,,Total '+/-,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D,,Ottawa Donphans,,Brought,Kill,Killed,Died,K,T,D
,,0,,,Spectrier,Tyranitar,Ribombee,Vaporeon,1,3,1,,,,Spectrier,Tyranitar,Gengar,Tyranitar,1,4,1,,,,Spectrier,Excadrill,Archaludon,Leavanny,1,4,1,,,,Spectrier,Tyranitar,Tentacruel,Excadrill,1,2,1,,,,Spectrier,Tyranitar,Qwilfish-Hisui,Tyranitar,1,2,1,,,,Spectrier,Iron Hands,Tinkaton,Alcremie,1,2,1,,,,Spectrier,Iron Hands,Gliscor,Tyranitar,1,4,1,,,,Grimmsnarl,Excadrill,Froslass,Alcremie,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tyranitar,,,Corviknight,,,1,,,,Iron Hands,Excadrill,Dugtrio-Alola,Excadrill,1,1,1,,,,Iron Hands,Spectrier,Basculegion-F,Tyranitar,1,-,1,,,,Corviknight,Alcremie,Conkeldurr,Corviknight,1,3,1,,,,Iron Hands,Excadrill,Milotic,Excadrill,1,3,1,,,,Iron Hands,Excadrill,Wo-Chien,Spectrier,1,2,1,,,,Iron Hands,Iron Hands,Blaziken,Alcremie,1,5,1,,,,Muk,,,Grimmsnarl,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Excadrill,,,Excadrill,,,1,,,,Tyranitar,Iron Hands,Scream Tail,Leavanny,1,3,1,,,,Tyranitar,Spectrier,Iron Moth,Grimmsnarl,1,4,1,,,,Iron Hands,Iron Hands,Gholdengo,Tyranitar,1,4,1,,,,Tyranitar,Excadrill,Rillaboom,Grimmsnarl,1,4,1,,,,Tyranitar,Spectrier,Slowking-Galar,Tyranitar,1,,1,,,,Tyranitar,Iron Hands,Galvantula,Excadrill,1,2,1,,,,Alcremie,,,Excadrill,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Vaporeon,,,Tyranitar,,,1,,,,Grimmsnarl,Iron Hands,Tsareena,Grimmsnarl,1,2,1,,,,Grimmsnarl,Iron Hands,Zarude,Excadrill,1,3,1,,,,Tyranitar,Alcremie,Meowscarada,Spectrier,1,5,1,,,,Grimmsnarl,Spectrier,Gouging Fire,,1,5,,,,,Grimmsnarl,Tyranitar,Haxorus,Grimmsnarl,1,3,1,,,,Vaporeon,Iron Hands,Empoleon,,1,4,,,,,Vaporeon,,,Spectrier,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Corviknight,,,Muk,,,1,,,,Excadrill,Iron Hands,Iron Bundle,,1,5,,,,,Excadrill,Iron Hands,Zapdos,Spectrier,1,4,1,,,,Excadrill,Alcremie,Ting-Lu,,1,4,,,,,Excadrill,Spectrier,Iron Treads,,1,4,,,,,Excadrill,Iron Hands,Rotom-Wash,Excadrill,1,4,1,,,,Excadrill,Iron Hands,Cinccino,,1,3,,,,,Spectrier,,,Muk,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lose,-5,Muk,,,Spectrier,,,1,,Win,2,Leavanny,Iron Hands,Snorlax,,1,2,,,Win,1,Iron Leaves,,,,,,,,Win,2,Alcremie,Alcremie,Raging Bolt,,1,4,,,Win,3,Alcremie,Spectrier,Hawlucha,,1,3,,,Lose,-1,Alcremie,,,Iron Hands,,,1,,Win,3,Alcremie,Iron Hands,Arboliva,,1,1,,,Lose,-5,Excadrill,,,Vaporeon,,,1,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D,,Artillery Octilleries,,Brought,Kill,Killed,Died,K,T,D
,,-11,,,,,,,,,,,,,Zarude,Zapdos,Qwilfish-Hisui,Iron Moth,1,2,1,,,,Zapdos,Ursaluna,Leavanny,Ursaluna,1,1,1,,,,Politoed,Ursaluna,Gliscor,Ursaluna,1,4,1,,,,Zapdos,Basculegion-F,Heatran,Basculegion-F,1,4,1,,,,Politoed,Basculegion,Flygon,Iron Moth,1,2,1,,,,Politoed,Politoed,Keldeo,Basculegion,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Basculegion-F,Zapdos,Rillaboom,Zapdos,1,4,1,,,,Iron Moth,Basculegion-F,Tyranitar,Archaludon,1,4,1,,,,Archaludon,Ursaluna,Sylveon,Basculegion,1,3,1,,,,Iron Moth,Zapdos,Jolteon,Zarude,1,2,1,,,,Archaludon,Politoed,Scream Tail,Politoed,1,3,1,,,,Archaludon,Archaludon,Scizor,Politoed,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Politoed,,,Politoed,,,1,,,,Ursaluna,Zarude,Grimmsnarl,Basculegion-F,1,3,1,,,,Ursaluna,Ursaluna,Cinccino,,1,3,,,,,Ursaluna,,,Archaludon,,,1,,,,Ursaluna,Ursaluna,Skarmory,Ursaluna,1,4,1,,,,Ursaluna,,,Ursaluna,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Zapdos,,,Sandslash,,,1,,,,Basculegion-F,Zarude,Excadrill,Iron Moth,1,4,1,,,,Basculegion,Politoed,Arboliva,,1,1,,,,,Basculegion-F,,,Ursaluna,,,1,,,,Basculegion,Basculegion,Snorlax,Basculegion,1,2,1,,,,Basculegion,,,Iron Moth,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sandslash,,,Basculegion-F,,,1,,,,Archaludon,Zarude,Spectrier,Zarude,1,5,1,,,,Iron Moth,Iron Moth,Blaziken,,1,5,,,,,Archaludon,,,Iron Moth,,,1,,,,Iron Moth,Archaludon,Iron Bundle,Archaludon,1,5,1,,,,Iron Moth,,,Archaludon,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lose,-4,,,,,,,,,Lose,-4,Iron Moth,,,Zarude,,,1,,Lose,-1,Zarude,,,Zapdos,,,1,,Win,4,Weezing-Galar,Archaludon,Empoleon,,1,4,,,Lose,-4,Zarude,,,Zapdos,,,1,,Lose,-1,Weezing-Galar,,,Weezing-Galar,,,1,,Lose,-4,Weezing-Galar,,,Weezing-Galar,,,1,,Win,3,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D,,Detroit Zoroarks,,Brought,Kill,Killed,Died,K,T,D
,,0,,,,,,,,,,,,,Deoxys-Speed,Tauros,Diancie,Tauros,1,2,1,,,,Deoxys-Speed,Dragonite,Qwilfish-Hisui,Metagross,1,2,1,,,,Honchkrow,Dragonite,Scream Tail,Metagross,1,3,1,,,,Metagross,Metagross,Mienshao,Great Tusk,1,3,1,,,,Metagross,Metagross,Sandslash-Alola,Iron Valiant,1,2,1,,,,Swampert,Mismagius,Annihilape,Great Tusk,1,5,1,,,,Metagross,Metagross,Rotom-Wash,Dragonite,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Great Tusk,Tauros,Latios,Dragonite,1,5,1,,,,Metagross,,,Iron Valiant,,,1,,,,Mismagius,Electrode,Skarmory,Dragonite,1,4,1,,,,Tauros,Tauros,Roaring Moon,Iron Valiant,1,5,1,,,,Mismagius,Mismagius,Rhydon,Dragonite,1,2,1,,,,Mismagius,Deoxys-Speed,Ribombee,Iron Valiant,1,3,1,,,,Deoxys-Speed,Metagross,Tinkaton,Metagross,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Iron Valiant,Dragonite,Skeledirge,Great Tusk,1,4,1,,,,Swampert,,,Dragonite,,,1,,,,Metagross,,,Mismagius,,,1,,,,Great Tusk,Dragonite,Clodsire,Dragonite,1,3,1,,,,Deoxys-Speed,Deoxys-Speed,Ogerpon,Mismagius,1,4,1,,,,Metagross,Deoxys-Speed,Toedscruel,Metagross,1,2,1,,,,Honchkrow,Metagross,Slither Wing,Iron Valiant,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Dragonite,Deoxys-Speed,Glimmora,Iron Valiant,1,4,1,,,,Dragonite,,,Great Tusk,,,1,,,,Tauros,,,Tauros,,,1,,,,Iron Valiant,Dragonite,Magcargo,Tauros,1,1,1,,,,Great Tusk,Great Tusk,Scizor,Great Tusk,1,4,1,,,,Iron Valiant,Mismagius,Enamorus,Deoxys-Speed,1,5,1,,,,Swampert,Metagross,Wo-Chien,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Swampert,Great Tusk,Kingambit,,1,5,,,,,Great Tusk,,,Deoxys-Speed,,,1,,,,Electrode,,,Honchkrow,,,1,,,,Dragonite,Swampert,Iron Boulder,,1,4,,,,,Dragonite,Great Tusk,Ninetales-Alola,Metagross,1,4,1,,,,Great Tusk,,,Swampert,,,1,,,,Dragonite,Iron Valiant,Quaquaval,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Win,3,,,,,,,,,Win,2,Tauros,Deoxys-Speed,Greninja,,1,5,,,Lose,-5,Iron Valiant,,,Swampert,,,1,,Lose,-4,Dragonite,,,Electrode,,,1,,Win,2,Swampert,Metagross,Primarina,,1,4,,,Win,1,Iron Valiant,Deoxys-Speed,Dragapult,,1,5,,,Lose,-2,Deoxys-Speed,,,Mismagius,,,1,,Win,3,Iron Valiant,Honchkrow,Darkrai,,1,5,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
