,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week 1,,,,,,,,,,,,,,Week 2,,,,,,,,,,,,,,Week 3,,,,,,,,,,,,,,Week 4,,,,,,,,,,,,,,Week 5,,,,,,,,,,,,,,Week 6,,,,,,,,,,,,,,Week 7,,,,,,,,,,,,,,Week 8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,6,,,,,,,,,,,,2,,6,,,,,,,,,,,,3,,6,,,,,,,,,,,,6,,1,,,,,,,,,,,,5,,6,,,,,,,,,,,,6,,2,,,,,,,,,,,,2,,6,,,,,,,,,,,,3,,6,,,,,,,,,,,,,,
,,Chicago Chimchars,,,,Richmond Raging Bolts,,,,T1W,T1L,T2W,T2L,,,Chicago Chimchars,,,,Caborca Gengars,,,,T1W,T1L,T2W,T2L,,,Chicago Chimchars,,,,Columbus Conkeldurrs,,,,T1W,T1L,T2W,T2L,,,Chicago Chimchars,,,,Uncertain Unowns,,,,T1W,T1L,T2W,T2L,,,Chicago Chimchars,,,,Carolina Cetitans,,,,T1W,T1L,T2W,T2L,,,Chicago Chimchars,,,,St. Louis Solgaleos,,,,T1W,T1L,T2W,T2L,,,Chicago Chimchars,,,,Gelnhausen Gengars,,,,T1W,T1L,T2W,T2L,,,Chicago Chimchars,,,,Boston Bulbasaurs,,,,T1W,T1L,T2W,T2L,,Pbot Text,Pbot Extract,Pbot Name,D,K,Pokemon
,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,"Blaziken has 0 direct kills, 0 passive kills, and 0 deaths.",Blaziken has 0 kills and 0 deaths.,Blaziken,0,0,Blaziken
,,Mamoswine,0,0,,1,1,Archaludon,,,,,,,,Mamoswine,0,1,,1,0,Scream Tail,,0,1,1,0,,,Tinkaton,0,0,,1,1,Greninja,,0,0,0,0,,,Darkrai,0,1,,1,0,Ting-Lu,,0,0,0,0,,,Iron Valiant,2,0,,1,1,Galarian Weezing,,0,0,0,0,,,Darkrai,1,1,,1,1,Ursaluna-BM,,0,0,0,0,,,Slowking,0,0,,1,1,Walking Wake,,0,1,1,0,,,Mamoswine,2,0,,1,0,Lycanroc-Midnight,,1,0,0,1,,"Manaphy has 2 direct kills, 0 passive kills, and 0 deaths.",Manaphy has 2 kills and 0 deaths.,Manaphy,0,2,Manaphy
,,Glimmora,1,1,,1,0,Iron Bundle,,,,,,,,Darkrai,0,0,,1,1,Raging Bolt,,0,1,1,0,,,Darkrai,1,1,,1,0,Tornadus-Therian,,0,0,0,0,,,Mamoswine,0,1,,0,5,Hatterene,,0,0,0,0,,,Iron Leaves,1,1,,1,1,Heatran,,0,0,0,0,,,Iron Valiant,0,1,,0,0,Baxcalibur,,0,0,0,0,,,Iron Leaves,0,1,,1,0,Torkoal,,0,1,1,0,,,Darkrai,0,0,,1,0,Ogerpon-H,,1,0,0,1,,"Wobbuffet has 0 direct kills, 0 passive kills, and 0 deaths.",Wobbuffet has 0 kills and 0 deaths.,Wobbuffet,0,0,Wobbuffet
,,Darkrai,0,0,,1,0,Pelipper,,,,,,,,Slowking,0,0,,1,0,Corviknight,,0,1,1,0,,,Vikavolt,0,1,,1,0,Hoopa-Unbound,,0,0,0,0,,,Moltres,0,1,,0,0,Meowscarada,,0,0,0,0,,,Slowking,0,1,,1,1,Sneasler,,0,0,0,0,,,Iron Leaves,1,1,,0,0,Empoleon,,0,0,0,0,,,Darkrai,1,1,,1,0,Azumarill,,0,1,1,0,,,Tinkaton,0,1,,1,0,Manaphy,,1,0,0,1,,"Banette-Mega has 1 direct kills, 0 passive kills, and 0 deaths.",Banette-Mega has 1 kills and 0 deaths.,Banette-Mega,0,1,Mega Banette
,,Slowking,0,0,,1,0,Espathra,,,,,,,,Tinkaton,1,0,,1,0,Arboliva,,0,1,1,0,,,Iron Leaves,1,1,,1,1,Gouging Fire,,0,0,0,0,,,Vikavolt,1,1,,0,0,Iron Valiant,,0,0,0,0,,,Mamoswine,0,1,,1,0,Rillaboom,,0,0,0,0,,,Glimmora,0,1,,1,1,Zapdos,,0,0,0,0,,,Iron Valiant,0,0,,1,0,Araquanid,,0,1,1,0,,,Moltres,0,1,,1,0,Hisuian Braviary,,1,0,0,1,,"Hydrapple has 3 direct kills, 0 passive kills, and 0 deaths.",Hydrapple has 3 kills and 0 deaths.,Hydrapple,0,3,Hydrapple
,,Iron Leaves,5,0,,1,0,Brambleghast,,,,,,,,Iron Valiant,2,0,,1,0,Overqwil,,0,1,1,0,,,Iron Valiant,4,0,,1,1,Hariyama,,0,0,0,0,,,Iron Valiant,0,1,,0,0,Forretress,,0,0,0,0,,,Greavard,1,1,,1,1,Salamence,,0,0,0,0,,,Tinkaton,0,1,,0,4,Zarude,,0,0,0,0,,,Glimmora,5,0,,1,1,Ogerpon-T,,0,1,1,0,,,Glimmora,4,0,,1,2,Gholdengo,,1,0,0,1,,"Scizor has 0 direct kills, 0 passive kills, and 0 deaths.",Scizor has 0 kills and 0 deaths.,Scizor,0,0,Scizor
