,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Frederick Klefkis,,,,FRK,2,Nevada County Caterpies,,,,NCC,3,Pittsburgh Scizors,,,,PIT,4,Vancouver Valiants,,,,VAV,5,Luscious Lopunnies,,,,LL,6,New Orleans Swamperts,,,,NOS,,7,Worcester Woopers,,,,WOW,8,,,
,Orange,,,,,,neutered_wallaby,,,,,,IntoTheVoid,,,,,,FireAnt,,,,,,Merry,,,,,,Bandito,,,,,,,Lemon,,,,,,,,,
,180,,Iron Valiant,,,,180,,Dragapult,,,,180,,Gouging Fire,,,,170,,Great Tusk,,,,150,,Iron Treads,,,,170,,Ogerpon-W,,,,,170,,Roaring Moon,,,,,,,
,170,,Deoxys-Speed,,,,160,,Darkrai,,,,160,,Tornadus-Therian,,,,160,,Greninja,,,,160,,Latios,,,,140,,Pecharunt,10,T,,,150,,Iron Moth,,,,,,,
,160,,Garchomp,,,,130,,Scizor,,,,140,,Metagross,10,T,,130,,Ceruledge,20,T,,140,,Clefable,,,,150,,Jirachi,,,,,110,,Donphan,,,,,,,
,130,,Empoleon,,,,120,,Volcanion,,,,100,,Regieleki,,,,160,,Enamorus,,,,110,,Kilowattrel,20,T,,150,,Terapagos-Terastal,,,,,130,,Skarmory,,,,,,,
,120,,Zarude,,,,140,,Rillaboom,,,,100,,Paldean Tauros (Water),,,,100,,Revavroom,20,T,,170,,Blaziken,,,,150,,Weavile,,,,,110,,Milotic,,,,,,,
,100,,Bellibolt,30,T,,110,,Hawlucha,,,,70,,Zoroark,,,,130,,Azelf,,,,120,,Azumarill,,,,110,,Swampert,,,,,100,,Ribombee,,,,,,,
,100,,Talonflame,,,,120,,Sandy Shocks,,,,130,,Venusaur,20,T,,130,,Hydrapple,,,,110,,Glastrier,20,T,,140,,Dragonite,,,,,120,,Terrakion,,,,,,,
,70,,Qwilfish,,,,120,,Comfey,30,T,,110,,Torkoal,,,,60,,Lanturn,,,,90,,Porygon2,,,,20,,Sudowoodo,,,,,10,,Banette,,,,,,,
,40,,Cryogonal,,,,70,,Avalugg,40,T,,60,,Mudsdale,,,,80,,Galarian Weezing,,,,40,,Skuntank,,,,90,,Alcremie,30,T,,,110,,Sinistcha,20,T,,,,,
,60,,Indeedee,,,,20,,Murkrow,,,,110,,Mimikyu,30,T,,20,,Wigglytuff,,,,30,,Spidops,,,,20,,Ariados,,,,,120,,Magnezone,20,T,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-30,,,-25,,,-70,,,-63,,,-60,,,-55,,,-40,,,-36,,,-20,,,-36,,,-40,,,-36,,,,-30,,,-36,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Crown Point Cetitans,,,,CPC,9,Alabama Alakazams,,,,AA,10,Abbotsford Aggrons,,,,ABA,11,München Emboars,,,,MÜE,12,Sauda's Chimps,,,,SAC,13,Sunnyside Suicunes,,,,SUN,,14,Lion City Leech Life,,,,LCLL,16,,,
,MadMac,,,,,,Ben,,,,,,Nightmarehall,,,,,,Kerthwack,,,,,,Boost4u,,,,,,Mug,,,,,,,Shadow2054,,,,,,,,,
,160,,Galarian Slowking,,,,100,,Ambipom,30,T,,180,,Spectrier,,,,170,,Iron Bundle,,,,160,,Kyurem,,,,140,,Ting-Lu,,,,,160,,Ursaluna-BM,,,,,,,
,90,,Alomomola,,,,130,,Primarina,,,,140,,Hisuian Samurott,,,,150,,Landorus-Therian,,,,150,,Excadrill,,,,140,,Corviknight,,,,,160,,Gholdengo,,,,,,,
,80,,Diancie,,,,150,,Raging Bolt,,,,110,,Fezandipiti,,,,110,,Meloetta,20,T,,130,,Slowking,,,,160,,Cinderace,,,,,140,,Quaquaval,,,,,,,
,140,,Iron Hands,,,,160,,Ogerpon-H,,,,70,,Trapinch,40,T,,120,,Conkeldurr,,,,130,,Thundurus,,,,140,,Thundurus-Therian,,,,,130,,Glimmora,,,,,,,
,140,,Hoopa-Unbound,10,T,,100,,Shiftry,30,T,,90,,Cyclizar,,,,120,,Galvantula,30,T,,120,,Dudunsparce,30,T,,40,,Sandslash,,,,,110,,Gardevoir,,,,,,,
,120,,Mandibuzz,,,,110,,Clodsire,,,,120,,Espeon,20,T,,140,,Skeledirge,,,,110,,Grimmsnarl,,,,160,,Manaphy,,,,,100,,Noivern,,,,,,,
,120,,Hisuian Zoroark,,,,130,,Iron Crown,,,,150,,Heatran,,,,90,,Morpeko,40,T,,120,,Decidueye,30,T,,100,,Goodra,,,,,90,,Vikavolt,30,T,,,,,
,80,,Brambleghast,,,,140,,Slither Wing,20,T,,90,,Arboliva,30,T,,80,,Malamar,30,T,,90,,Tentacruel,,,,130,,Scream Tail,20,T,,,110,,Arcanine,,,,,,,
,80,,Cetitan,,,,70,,Mismagius,,,,80,,Quagsire,,,,90,,Inteleon,,,,140,,Iron Boulder,,,,80,,Phione,40,T,,,130,,Lokix,10,T,,,,,
,80,,Registeel,,,,70,,Eelektross,,,,160,,Sneasler,,,,140,,Hisuian Lilligant,,,,50,,Hippopotas,40,T,,60,,Glaceon,40,T,,,50,,Jumpluff,40,T,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,Vileplume,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,-9,,,-60,,,-75,,,-90,,,-81,,,-110,,,-111,,,-100,,,-90,,,-100,,,-90,,,,-80,,,-72,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwwwwa,,,,,,,,,,,,,,,,,
