,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week 1,,,,,,,,,,,,,,Week 2,,,,,,,,,,,,,,Week 3,,,,,,,,,,,,,,Week 4,,,,,,,,,,,,,,Week 5,,,,,,,,,,,,,,Week 6,,,,,,,,,,,,,,Week 7,,,,,,,,,,,,,,Week 8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,0,,,,,,,,,,,,0,,6,,,,,,,,,,,,1,,6,,,,,,,,,,,,6,,0,,,,,,,,,,,,6,,4,,,,,,,,,,,,6,,4,,,,,,,,,,,,0,,0,,,,,,,,,,,,6,,3,,,,,,,,,,,,,,
,,Clonbrook Kyogres,,,,Metro Boomburstin,,,,T1W,T1L,T2W,T2L,,,Clonbrook Kyogres,,,,Salt Lake Salandits,,,,T1W,T1L,T2W,T2L,,,Clonbrook Kyogres,,,,New York Nickits,,,,T1W,T1L,T2W,T2L,,,Clonbrook Kyogres,,,,Cherry Hill Bellsprouts,,,,T1W,T1L,T2W,T2L,,,Clonbrook Kyogres,,,,Snowpoint Temple Zoruas,,,,T1W,T1L,T2W,T2L,,,Clonbrook Kyogres,,,,Tottenham Hoothoots,,,,T1W,T1L,T2W,T2L,,,Clonbrook Kyogres,,,,Syracuse Snorlax,,,,T1W,T1L,T2W,T2L,,,Clonbrook Kyogres,,,,Scarborough Sceptiles,,,,T1W,T1L,T2W,T2L,,Pbot Text,Pbot Extract,Pbot Name,D,K,Pokemon
,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,"Blaziken has 0 direct kills, 0 passive kills, and 0 deaths.",Blaziken has 0 kills and 0 deaths.,Blaziken,0,0,Blaziken
,,,,,,,,,,,,,,,,Regieleki,0,0,,1,0,Azelf,,0,1,1,0,,,Regieleki,0,0,,1,0,Serperior,,0,0,0,0,,,Rillaboom,0,1,,0,4,Clodsire,,0,0,0,0,,,Rillaboom,0,1,,1,0,Pecharunt,,0,0,0,0,,,Rillaboom,0,1,,0,0,Latias,,0,0,0,0,,,,,,,,,,,0,1,1,0,,,Regieleki,0,1,,0,0,Wigglytuff,,0,1,1,0,,"Manaphy has 2 direct kills, 0 passive kills, and 0 deaths.",Manaphy has 2 kills and 0 deaths.,Manaphy,0,2,Manaphy
,,,,,,,,,,,,,,,,Rillaboom,0,0,,1,0,Cloyster,,0,1,1,0,,,Rillaboom,0,0,,1,0,Hatterene,,0,0,0,0,,,Sneasler,0,1,,0,2,Iron Valiant,,0,0,0,0,,,Archaludon,0,1,,0,5,Jolteon,,0,0,0,0,,,Archaludon,0,1,,1,3,Lilligant,,0,0,0,0,,,,,,,,,,,0,1,1,0,,,Rillaboom,0,1,,1,3,Dragapult,,0,1,1,0,,"Wobbuffet has 0 direct kills, 0 passive kills, and 0 deaths.",Wobbuffet has 0 kills and 0 deaths.,Wobbuffet,0,0,Wobbuffet
,,,,,,,,,,,,,,,,Sneasler,6,0,,1,0,Keldeo,,0,1,1,0,,,Sneasler,0,0,,1,0,Mandibuzz,,0,0,0,0,,,Alomomola,0,1,,0,0,Corviknight,,0,0,0,0,,,Diancie,1,1,,1,0,Ogerpon-T,,0,0,0,0,,,Diancie,1,1,,1,1,Muk,,0,0,0,0,,,,,,,,,,,0,1,1,0,,,Sneasler,1,1,,0,2,Spectrier,,0,1,1,0,,"Banette-Mega has 1 direct kills, 0 passive kills, and 0 deaths.",Banette-Mega has 1 kills and 0 deaths.,Banette-Mega,0,1,Mega Banette
,,,,,,,,,,,,,,,,Alomomola,0,0,,1,0,Cyclizar,,0,1,1,0,,,Alomomola,0,0,,1,0,Vaporeon,,0,0,0,0,,,Archaludon,0,1,,0,0,Wo-Chien,,0,0,0,0,,,Regieleki,0,1,,1,1,Iron Treads,,0,0,0,0,,,Regieleki,1,1,,1,0,Thundurus-Therian,,0,0,0,0,,,,,,,,,,,0,1,1,0,,,Alomomola,0,1,,1,0,Ting-Lu,,0,1,1,0,,"Hydrapple has 3 direct kills, 0 passive kills, and 0 deaths.",Hydrapple has 3 kills and 0 deaths.,Hydrapple,0,3,Hydrapple
,,,,,,,,,,,,,,,,Archaludon,0,0,,1,0,Braixen,,0,1,1,0,,,Archaludon,4,0,,1,0,Garchomp,,0,0,0,0,,,Diancie,0,1,,0,0,Cinderace,,0,0,0,0,,,Mudsdale,1,1,,1,0,Greninja,,0,0,0,0,,,Conkeldurr,1,1,,0,2,Ursaluna,,0,0,0,0,,,,,,,,,,,0,1,1,0,,,Archaludon,1,1,,1,0,Zapdos,,0,1,1,0,,"Scizor has 0 direct kills, 0 passive kills, and 0 deaths.",Scizor has 0 kills and 0 deaths.,Scizor,0,0,Scizor
