,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week 1,,,,,,,,,,,,,,Week 2,,,,,,,,,,,,,,Week 3,,,,,,,,,,,,,,Week 4,,,,,,,,,,,,,,Week 5,,,,,,,,,,,,,,Week 6,,,,,,,,,,,,,,Week 7,,,,,,,,,,,,,,Week 8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,,6,,,,,,,,,,,,6,,4,,,,,,,,,,,,6,,1,,,,,,,,,,,,5,,6,,,,,,,,,,,,2,,6,,,,,,,,,,,,5,,6,,,,,,,,,,,,6,,2,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,
,,Icirrus City Infernapes,,,,Scottish Stoutlands,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Adelaide 30Scizors,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Erie Oshawotts,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Norwalk Noiverns,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Snowpoint City Snovers,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Sydney Sylveons,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Columbus Conkeldurrs,,,,T1W,T1L,T2W,T2L,,,Icirrus City Infernapes,,,,Long Island Tyranitars,,,,T1W,T1L,T2W,T2L,,Pbot Text,Pbot Extract,Pbot Name,D,K,Pokemon
,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,,Pokemon,K,D,,D,K,Pokemon,,,,,,,"Blaziken has 0 direct kills, 0 passive kills, and 0 deaths.",Blaziken has 0 kills and 0 deaths.,Blaziken,0,0,Blaziken
,,Porygon-Z,2,1,,1,1,Darkrai,,,,,,,,Tornadus-Therian,2,1,,0,1,Walking Wake,,,,,,,,Quaquaval,0,1,,0,3,Roaring Moon,,,,,,,,Quaquaval,0,1,,1,1,Iron Bundle,,,,,,,,Dragapult,1,0,,1,0,Garchomp,,0,0,0,0,,,Dragapult,0,1,,1,0,Iron Valiant,,,,,,,,Tornadus-Therian,1,1,,0,0,Hydrapple,,,,,,,,Quaquaval,0,1,,0,0,Thundurus-Therian,,0,1,1,0,,"Manaphy has 2 direct kills, 0 passive kills, and 0 deaths.",Manaphy has 2 kills and 0 deaths.,Manaphy,0,2,Manaphy
,,Ting-Lu,1,0,,1,1,Iron Hands,,,,,,,,Ting-Lu,0,1,,1,0,Torkoal,,,,,,,,Dragapult,0,1,,1,0,Uxie,,,,,,,,Dragapult,0,1,,1,4,Enamorus,,,,,,,,Ting-Lu,0,1,,1,1,Zapdos,,0,0,0,0,,,Tornadus-Therian,2,1,,1,0,Hisuian Samurott,,,,,,,,Dragapult,0,1,,0,0,Moltres,,,,,,,,Azumarill,1,1,,0,1,Urshifu-Single-Strike,,0,1,1,0,,"Wobbuffet has 0 direct kills, 0 passive kills, and 0 deaths.",Wobbuffet has 0 kills and 0 deaths.,Wobbuffet,0,0,Wobbuffet
,,Azumarill,1,1,,1,1,Sinistcha,,,,,,,,Dragapult,0,1,,1,1,Venusaur,,,,,,,,Tornadus-Therian,0,1,,0,1,Urshifu-Rapid-Strike,,,,,,,,Muk,2,1,,1,0,Landorus,,,,,,,,Jirachi,3,0,,1,1,Tinkaton,,0,0,0,0,,,Ting-Lu,0,1,,1,0,Probopass,,,,,,,,Tsareena,0,1,,1,0,Iron Treads,,,,,,,,Ting-Lu,0,1,,0,0,Shaymin,,0,1,1,0,,"Banette-Mega has 1 direct kills, 0 passive kills, and 0 deaths.",Banette-Mega has 1 kills and 0 deaths.,Banette-Mega,0,1,Mega Banette
,,Tornadus-Therian,0,1,,1,1,Cinderace,,,,,,,,Carbink,0,1,,0,1,Grimmsnarl,,,,,,,,Jirachi,1,1,,0,1,Alomomola,,,,,,,,Ting-Lu,1,1,,1,0,Skeledirge,,,,,,,,Quaquaval,0,0,,1,0,Pecharunt,,0,0,0,0,,,Quaquaval,0,1,,1,1,Volcarona,,,,,,,,Ting-Lu,1,1,,0,2,Palafin,,,,,,,,Jirachi,0,1,,1,0,Heatran,,0,1,1,0,,"Hydrapple has 3 direct kills, 0 passive kills, and 0 deaths.",Hydrapple has 3 kills and 0 deaths.,Hydrapple,0,3,Hydrapple
,,Dragapult,2,1,,1,1,Krookodile,,,,,,,,Azumarill,1,1,,1,1,Latios,,,,,,,,Azumarill,0,1,,0,0,Terapagos,,,,,,,,Azumarill,2,1,,1,0,Lycanroc-Dusk,,,,,,,,Porygon-Z,2,1,,1,0,Mew,,0,0,0,0,,,Jirachi,0,1,,1,1,Sneasler,,,,,,,,Porygon-Z,0,1,,0,1,Rotom,,,,,,,,Dragapult,0,1,,0,0,Greninja,,0,1,1,0,,"Scizor has 0 direct kills, 0 passive kills, and 0 deaths.",Scizor has 0 kills and 0 deaths.,Scizor,0,0,Scizor
