,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Clonbrook Kyogres,,,,CBK,2,Richmond Ragingbolts,,,,RR,3,Caborca Gengars,,,,CAG,4,Motor City Machamps,,,,MCM,5,The Ting Goes Boom,,,,TGB,6,Hawaiian High Cost,,,,HHC,,7,Uncertain Unowns,,,,UU,8,,,
,clonbrookkyogres,,,,,,poomasangi,,,,,,holiss77,,,,,,dumahbrews,,,,,,kuroshinigammi,,,,,,Nigth,,,,,,,Rexx,,,,,,,,,
,20,,Iron Valiant,,,,18,,Ogerpon-C,4,T,,20,,Dragapult,,,,19,,Palafin,,,,19,,Meowscarada,,,,9,,Clodsire,,,,,18,,Terapagos,,,,,,,
,13,,Necrozma,,,,17,,Walking Wake,2,T,,18,,Iron Hands,3,T,,15,,Raging Bolt,,,,17,,Garchomp,,,,17,,Gholdengo,1,T,,,16,,Iron Bundle,,,,,,,
,14,,Primarina,,,,7,,Torkoal,,,,12,,Clefable,,,,14,,Gliscor,,,,16,,Zapdos,,,,20,,Urshifu-Rapid-Strike,4,T,,,16,,Heatran,2,T,,,,,
,13,,Scizor,,,,10,,Venusaur,3,T,,13,,Slowking,,,,12,,Kingambit,,,,13,,Iron Crown,,,,19,,Chi-Yu,4,T,,,16,,Salamence,4,T,,,,,
,14,,Thundurus-Therian,,,,16,,Gouging Fire,,,,13,,Hawlucha,2,T,,9,,Toxapex,0,T,,9,,Tentacruel,,,,4,,Tornadus,,,,,12,,Ogerpon-T,,,,,,,
,11,,Pelipper,1,T,,19,,Great Tusk,,,,10,,Cetitan,2,T,,12,,Scream Tail,,,,17,,Keldeo,3,T,,9,,Entei,,,,,10,,Conkeldurr,2,T,,,,,
,10,,Barraskewda,,,,8,,Cresselia,,,,8,,Alolan Ninetales,,,,16,,Ceruledge,5,T,,12,,Enamorus-Therian,2,T,,12,,Ogerpon-H,,,,,13,,Krookodile,,,,,,,
,13,,Overqwil,2,T,,12,,Mandibuzz,,,,8,,Galarian Weezing,,,,10,,Cyclizar,,,,8,,Rotom-Heat,,,,14,,Latios,,,,,11,,Tinkaton,,,,,,,
,10,,Okidogi,,,,10,,Grimmsnarl,,,,6,,Vikavolt,,,,12,,Mamoswine,,,,7,,Mimikyu,,,,7,,Dondozo,,,,,7,,Mismagius,,,,,,,
,2,,Typhlosion,0,T,,2,,Charizard,,,,6,,Gastrodon,,,,1,,Kricketune,,,,2,,Komala,,,,1,,Gogoat,,,,,1,,Samurott,,,,,,,
,,,,,,,,,,,,,5,,Toedscruel,,,,,,,,,,,,,,,,7,,Kleavor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,1,,,,,,1,,,,,,0,,,,,,0,,,,,,1,,,,,,,0,,,,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,BC Litleos,,,,BCL,9,East Coast Krooks,,,,ECK,10,Fredericton Froakies,,,,FF,11,Ottawa Donphans,,,,OD,12,Machampions,,,,MAC,13,Carolina Cetitans,,,,CC,,14,Chicago Chimchars,,,,CHC,16,,,
,thribe,,,,,,BigWill,,,,,,d00rrdash,,,,,,Crunchy,,,,,,erdandarksteel,,,,,,Gage,,,,,,,platano_power_420,,,,,,,,,
,13,,Metagross,,,,21,,Greninja,3,T,,17,,Sneasler,,,,16,,Roaring Moon,,,,19,,Annihilape,3,T,,17,,Darkrai,,,,,17,,Ting-Lu,,,,,,,
,17,,Urshifu-Single-Strike,,,,15,,Iron Treads,,,,14,,Rillaboom,,,,15,,Cinderace,,,,17,,Tornadus-Therian,,,,16,,Galarian Slowking,,,,,16,,Ogerpon-W,,,,,,,
,17,,Landorus-Therian,1,T,,18,,Deoxys-Speed,,,,16,,Dragonite,,,,14,,Pecharunt,,,,14,,Jirachi,,,,15,,Baxcalibur,,,,,10,,Klefki,,,,,,,
,14,,Rotom-Wash,,,,6,,Quagsire,,,,10,,Sinistcha,,,,11,,Donphan,,,,9,,Alomomola,,,,14,,Excadrill,,,,,18,,Iron Boulder,5,T,,,,,
,10,,Talonflame,,,,12,,Moltres,,,,15,,Hisuian Arcanine,3,T,,18,,Quaquaval,3,T,,7,,Armarouge,2,T,,11,,Volcanion,,,,,10,,Mesprit,,,,,,,
,10,,Fezandipiti,,,,9,,Florges,,,,10,,Blastoise,,,,15,,Enamorus,,,,15,,Landorus,,,,7,,Arboliva,3,T,,,14,,Manaphy,2,T,,,,,
,3,,Hitmontop,,,,13,,Glimmora,,,,9,,Gardevoir,,,,8,,Bronzong,,,,13,,Azumarill,,,,8,,Diancie,,,,,9,,Infernape,,,,,,,
,14,,Thundurus,1,T,,15,,Hydrapple,4,T,,13,,Ursaluna,,,,8,,Shaymin,,,,7,,Amoonguss,,,,15,,Galarian Zapdos,2,T,,,16,,Ursaluna-BM,,,,,,,
,7,,Regieleki,,,,7,,Pawmot,,,,4,,Bisharp,0,T,,6,,Jolteon,3,T,,11,,Hydreigon,,,,4,,Drifblim,,,,,4,,Brambleghast,,,,,,,
,6,,Tsareena,,,,4,,Sableye,,,,2,,Regice,,,,7,,Meloetta,1,T,,4,,Cinccino,,,,12,,Tyranitar,1,T,,,4,,Muk,,,,,,,
,9,,Lucario,2,T,,,,,,,,6,,Iron Thorns,3,T,,,,,,,,3,,Smeargle,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,0,,,,,,4,,,,,,2,,,,,,1,,,,,,1,,,,,,,2,,,,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwwwwa,,,,,,,,,,,,,,,,,
