,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Nevada County Caterpies,,,,NCC,2,Boston Banettes,,,,BB,3,Toronto Staraptors,,,,TOS,4,Tottenham Hoothoots,,,,TOH,5,New York Malamars,,,,NYM,6,Worcester Woopers,,,,WOW,,7,Philadelphia Flygons,,,,PHF,8,,,
,neutered_wallaby,,,,,,Raven,,,,,,Cai,,,,,,TripleStarHunter,,,,,,Za,,,,,,Lemon,,,,,,,sam610,,,,,,,,,
,20,,Dragapult,,,,20,,Iron Valiant,,,,18,,Terapagos,,,,16,,Gouging Fire,,,,17,,Darkrai,,,,19,,Palafin,,,,,19,,Meowscarada,0,T,,,,,
,17,,Excadrill,3,T,,16,,Galarian Slowking,0,T,,14,,Rillaboom,,,,19,,Chi-Yu,4,T,,15,,Cinderace,,,,15,,Raging Bolt,,,,,17,,Sneasler,,,,,,,
,11,,Tyranitar,,,,15,,Baxcalibur,,,,15,,Ursaluna,2,T,,8,,Ninetales,,,,16,,Zapdos,,,,11,,Donphan,,,,,13,,Scizor,,,,,,,
,16,,Iron Bundle,,,,18,,Quaquaval,3,T,,13,,Necrozma,,,,10,,Hatterene,,,,15,,Primarina,1,T,,16,,Weavile,2,T,,,12,,Mamoswine,,,,,,,
,10,,Grimmsnarl,,,,11,,Tinkaton,,,,10,,Klefki,,,,2,,Gligar,,,,18,,Ogerpon-C,4,T,,12,,Skarmory,,,,,10,,Blastoise,,,,,,,
,10,,Talonflame,,,,14,,Thundurus-Therian,,,,11,,Skeledirge,,,,15,,Walking Wake,,,,13,,Metagross,,,,10,,Mesprit,0,T,,,14,,Latios,,,,,,,
,13,,Azumarill,,,,16,,Ursaluna-BM,,,,13,,Hawlucha,2,T,,5,,Tornadus,1,T,,8,,Araquanid,,,,9,,Sylveon,,,,,12,,Volcarona,,,,,,,
,7,,Toxtricity,1,T,,7,,Hisuian Electrode,2,T,,9,,Clodsire,,,,10,,Venusaur,3,T,,4,,Sableye,0,T,,7,,Decidueye,,,,,10,,Dudunsparce,2,T,,,,,
,7,,Meloetta,1,T,,2,,Carbink,,,,16,,Ogerpon-W,,,,5,,Rotom,,,,13,,Krookodile,,,,19,,Iron Moth,4,T,,,11,,Diancie,3,T,,,,,
,8,,Conkeldurr,,,,1,,Meowstic,,,,1,,Probopass,0,T,,3,,Hisuian Decidueye,,,,1,,Arbok,,,,1,,Lycanroc-Midnight,,,,,2,,Thwackey,,,,,,,
,,,,,,,,,,,,,,,,,,,15,,Hisuian Samurott,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,0,,,,,,0,,,,,,12,,,,,,0,,,,,,1,,,,,,,0,,,,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Frederick Klefkis,,,,FK,6,Garden City Grotles,,,,GCG,7,Jirachi All-Stars,,,,JAS,8,Blackthorn Crashers,,,,BTC,12,Luscious Lopunnies,,,,LL,13,Monument Frostoms,,,,MF,,14,Clefemboys,,,,CFB,16,,,
,Orange,,,,,,citricsage,,,,,,Jichar,,,,,,Grey,,,,,,Merry,,,,,,Shhnico,,,,,,,Metal,,,,,,,,,
,15,,Hydrapple,4,T,,19,,Great Tusk,,,,21,,Greninja,3,T,,16,,Gholdengo,,,,14,,Heatran,,,,19,,Annihilape,3,T,,,13,,Clefable,1,T,,,,,
,17,,Ting-Lu,,,,15,,Iron Treads,,,,17,,Garchomp,,,,16,,Roaring Moon,,,,20,,Urshifu-Rapid-Strike,4,T,,17,,Tornadus-Therian,,,,,13,,Corviknight,,,,,,,
,14,,Pecharunt,,,,17,,Keldeo,3,T,,14,,Jirachi,,,,17,,Landorus-Therian,1,T,,6,,Tsareena,,,,15,,Hoopa-Unbound,3,T,,,10,,Cyclizar,,,,,,,
,18,,Deoxys-Speed,,,,11,,Volcanion,,,,17,,Urshifu-Single-Strike,,,,18,,Iron Hands,3,T,,15,,Landorus,,,,8,,Galarian Weezing,,,,,12,,Sandy Shocks,,,,,,,
,16,,Kyurem,,,,13,,Latias,,,,14,,Rotom-Wash,,,,15,,Enamorus,,,,2,,Dunsparce,,,,16,,Gliscor,2,T,,,12,,Ogerpon-H,,,,,,,
,14,,Thundurus,1,T,,8,,Dragalge,,,,10,,Fezandipiti,0,T,,13,,Empoleon,,,,6,,Ribombee,,,,7,,Vaporeon,,,,,13,,Slowking,,,,,,,
,13,,Iron Crown,,,,18,,Iron Boulder,5,T,,11,,Azelf,,,,4,,Cryogonal,1,T,,12,,Garganacl,3,T,,14,,Archaludon,,,,,13,,Sinistcha,3,T,,,,,
,9,,Alomomola,,,,11,,Lokix,3,T,,8,,Shaymin,,,,9,,Deoxys-Defense,,,,10,,Gengar,,,,7,,Regieleki,,,,,10,,Terrakion,1,T,,,,,
,3,,Hitmonchan,0,T,,7,,Rotom-Mow,,,,6,,Chandelure,,,,9,,Infernape,,,,16,,Dragonite,,,,5,,Blissey,,,,,11,,Overqwil,,,,,,,
