,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Helsinki Jellicent Klub,,,,HJK,2,Philadelphia PZs,,,,PPZ,3,Dreary Lane Darmanitans,,,,DLD,4,Lion City Leech Life,,,,LCLL,5,Edinburgh Enamorus,,,,EE,6,Cherry Hill Bellsprouts,,,,CHB,,7,Syracuse Snorlax,,,,SS,8,,,
,uprafael,,,,,,Jarv,,,,,,Muffenman,,,,,,shadow2054,,,,,,Geo,,,,,,hotpepper22,,,,,,,TheITB,,,,,,,,,
,20,,Dragapult,,,,20,,Iron Valiant,,,,17,,Urshifu-Single-Strike,,,,17,,Ting-Lu,,,,18,,Deoxys-Speed,,,,18,,Terapagos,,,,,19,,Great Tusk,,,,,,,
,19,,Iron Moth,4,T,,15,,Iron Treads,,,,16,,Zapdos,,,,14,,Pecharunt,,,,16,,Salamence,4,T,,11,,Iron Jugulis,1,T,,,16,,Galarian Slowking,,,,,,,
,11,,Donphan,,,,19,,Annihilape,3,T,,14,,Skeledirge,3,T,,13,,Hawlucha,2,T,,16,,Gliscor,2,T,,15,,Ogerpon-T,3,T,,,16,,Kyurem,,,,,,,
,19,,Kingambit,7,T,,11,,Uxie,,,,10,,Haxorus,2,T,,14,,Rillaboom,,,,15,,Cinderace,,,,15,,Landorus,,,,,14,,Thundurus,1,T,,,,,
,12,,Clefable,,,,8,,Araquanid,,,,14,,Jirachi,,,,10,,Cyclizar,,,,15,,Enamorus,,,,13,,Empoleon,,,,,13,,Scizor,,,,,,,
,13,,Galarian Zapdos,,,,15,,Galarian Moltres,3,T,,12,,Mamoswine,,,,16,,Iron Bundle,,,,13,,Metagross,,,,10,,Fezandipiti,,,,,16,,Ogerpon-W,,,,,,,
,6,,Forretress,,,,13,,Volcanion,2,T,,9,,Sylveon,,,,4,,Orthworm,,,,10,,Alolan Muk,,,,10,,Enamorus-Therian,,,,,10,,Cetitan,2,T,,,,,
,8,,Milotic,0,T,,13,,Lycanroc-Dusk,,,,7,,Braviary,1,T,,19,,Chi-Yu,4,T,,8,,Conkeldurr,,,,8,,Rotom-Heat,,,,,8,,Alolan Ninetales,,,,,,,
,7,,Rotom-Mow,,,,5,,Hisuian Electrode,,,,6,,Tsareena,,,,10,,Reuniclus,2,T,,7,,Suicune,1,T,,15,,Iron Hands,,,,,7,,Hisuian Qwilfish,,,,,,,
,5,,Munkidori,,,,1,,Arbok,,,,14,,Keldeo,,,,3,,Alcremie,,,,1,,Banette,,,,5,,Grafaiai,,,,,1,,Bruxish,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,0,,,,,,1,,,,,,0,,,,,,1,,,,,,0,,,,,,,0,,,,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Alabama Feraligatrs,,,,AF,9,Blasphemous Blacephalons,,,,BB,10,London Lunalas,,,,LOL,11,Milton Keynes M'Ladies,,,,MKM,12,Prophet of the Pantheon,,,,PP,13,The Pokerangers,,,,TPR,,14,Charleston Chesnaughts,,,,CC,16,,,
,BlueFusion321,,,,,,beeboop,,,,,,BigDave,,,,,,Ryushi,,,,,,MadMac,,,,,,Leo,,,,,,,Don,,,,,,,,,
,17,,Excadrill,3,T,,21,,Greninja,3,T,,17,,Tornadus-Therian,,,,17,,Garchomp,,,,19,,Palafin,,,,16,,Roaring Moon,,,,,19,,Meowscarada,,,,,,,
