 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complex Bans,,,21 Points,,,20 Points,,,19 Points,,,18 Points,,,17 Points,,,16 Points,,,15 Points,,,14 Points,,,13 Points,,,12 Points,,,11 Points,,,10 Points,,,9 Points,,,8 Points,,,7 Points,,,6 Points,,,5 Points,,,4 Points,,,3 Points,,,2 Points,,,1 Points,,,0 Point,,,,,Coaches,Drafted Mons,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dugtrio,Arena Trap,,,,,Dragapult,B,,Great Tusk,B,,Deoxys-Speed,B,,Darkrai,B,,Annihilape,3,,Baxcalibur,B,,Archaludon,3,,Azumarill,1,,Clefable,1,,Azelf,1,,Alolan Muk,0,,Alomomola,1,,Alolan Ninetales,0,,Amoonguss,0,,Bellibolt,2,,Armarouge,2,,Abomasnow,0,,Alcremie,1,,Alolan Exeggutor,0,,Aipom,0,-,-,,,,uprafael,Dragapult,X
,,Sceptile,Shed Tail,,,,,Iron Valiant,B,,Meowscarada,0,,Greninja,3,,Garchomp,B,,Dragonite,B,,Blaziken,B,,Excadrill,3,,Corviknight,1,,Galarian Moltres,3,,Ceruledge,5,,Barraskewda,5,,Clodsire,1,,Araquanid,1,,Chesnaught,1,,Braviary,1,,Blissey,0,,Altaria,0,,Alolan Persian,0,,Appletun,1,,Alolan Diglett,0,,Abra,0,,,uprafael,Iron Moth,X
,,Gothitelle,Shadow Tag,,,,,,,,Palafin,B,,Terapagos,B,,Sneasler,B,,Galarian Slowking,0,,Chi-Yu,4,,Gliscor,2,,Empoleon,1,,Hisuian Arcanine,3,,Donphan,0,,Basculegion,2,,Cobalion,1,,Arcanine,1,,Comfey,2,,Breloom,1,,Ditto,0,,Arboliva,3,,Alolan Raichu,0,,Avalugg,1,,Alolan Dugtrio,0,,Absol,0,,,uprafael,Donphan,X
,,Basculegion,Last Respects,,,,,,,,,,,,,,Ting-Lu,1,,Gholdengo,1,,Cinderace,1,,Heatran,2,,Galarian Zapdos,2,,Hoopa-Unbound,3,,Hawlucha,2,,Blastoise,3,,Deoxys-Defense,2,,Bronzong,0,,Decidueye,0,,Chandelure,1,,Floatzel,2,,Bisharp,0,,Alolan Sandslash,1,,Basculin,0,,Alolan Grimer,0,,Accelgor,0,,,uprafael,Kingambit,X
,,Cyclizar,Shed Tail,,,,,,,,,,,,,,Tornadus-Therian,B,,Gouging Fire,B,,Enamorus,B,,Jirachi,1,,Glimmora,1,,Kingambit,7,,Hisuian Zoroark,0,,Cyclizar,1,,Entei,2,,Cetitan,2,,Delphox,2,,Cloyster,2,,Galarian Slowbro,0,,Brambleghast,0,,Ambipom,0,,Bombirdier,0,,Alolan Meowth,0,,Aegislash,0,,,uprafael,Clefable,X
,,Orthworm,Shed Tail,,,,,,,,,,,,,,Urshifu-Single-Strike,B,,Iron Bundle,B,,Hisuian Samurott,1,,Keldeo,3,,Iron Boulder,5,,Kommo-o,2,,Hydrapple,4,,Enamorus-Therian,2,,Florges,1,,Conkeldurr,2,,Dondozo,1,,Eelektross,0,,Glastrier,3,,Cinccino,1,,Articuno,1,,Carbink,0,,Alolan Sandshrew,0,,Aegislash-Blade,0,,,uprafael,Galarian Zapdos,X
,,Houndstone,Last Respects,,,,,,,,,,,,,,,,,Kyurem,B,,Iron Hands,3,,Latios,B,,Iron Crown,4,,Mamoswine,1,,Hydreigon,2,,Fezandipiti,0,,Gardevoir,1,,Cresselia,3,,Espathra,6,,Espeon,2,,Golurk,0,,Crawdaunt,0,,Beartic,1,,Charizard,0,,Alolan Vulpix,0,,Aerodactyl,0,,,uprafael,Forretress,X
,,All Trapping is Banned,,,,,,,,,,,,,,,,,,Landorus-Therian,1,,Iron Moth,4,,Ogerpon-C,4,,Krookodile,1,,Manaphy,2,,Mienshao,1,,Gengar,1,,Garganacl,3,,Diancie,3,,Gallade,2,,Feraligatr,2,,Grafaiai,1,,Drednaw,1,,Brute Bonnet,1,,Dunsparce,0,,Ampharos,0,,Aggron,0,,,uprafael,Milotic,X
,,,,,,,,,,,,,,,,,,,,Ogerpon-W,B,,Iron Treads,1,,Pecharunt,1,,Latias,B,,Mandibuzz,0,,Overqwil,2,,Grimmsnarl,0,,Hisuian Goodra,1,,Dragalge,0,,Goodra,0,,Flamigo,2,,Hisuian Braviary,2,,Drifblim,0,,Chansey,0,,Dusknoir,0,,Applin,0,,Alakazam,0,,,uprafael,Rotom-Mow,X
,,,,,,,,,,,,,,,,,,,,Roaring Moon,B,,Landorus,2,,Primarina,1,,Lycanroc-Dusk,1,,Mew,4,,Raikou,2,,Hatterene,1,,Infernape,1,,Dudunsparce,2,,Hippowdon,0,,Forretress,0,,Hisuian Electrode,2,,Duraludon,1,,Clawitzer,1,,Electivire,0,,Arbok,0,,Alolan Geodude,0,,,uprafael,Munkidori,X
,,,,,,,,,,,,,,,,,,,,Ursaluna-BM,B,,Quaquaval,3,,Rillaboom,2,,Metagross,1,,Moltres,1,,Skeledirge,3,,Iron Jugulis,1,,Kilowattrel,2,,Galarian Weezing,0,,Hisuian Qwilfish,0,,Froslass,0,,Hitmonlee,1,,Emboar,0,,Coalossal,1,,Electrode,1,,Arctibax,0,,Alolan Golem,0,,,uprafael,,X
,,,,,,,,,,,,,,,,,,,,Urshifu-Rapid-Strike,4,,Raging Bolt,B,,Rotom-Wash,1,,Necrozma,3,,Ogerpon-H,B,,Slither Wing,1,,Klefki,0,,Noivern,1,,Gyarados,2,,Inteleon,2,,Gastrodon,0,,Iron Leaves,2,,Flygon,0,,Copperajah,0,,Frosmoth,2,,Ariados,0,,Alolan Graveler,0,,,uprafael,,X
,,,,,,,,,,,,,,,,,,,,Zapdos,1,,Walking Wake,2,,Thundurus-Therian,3,,Scizor,2,,Ogerpon-T,3,,Tinkaton,0,,Mesprit,0,,Serperior,2,,Haxorus,2,,Kleavor,1,,Hariyama,1,,Kingdra,1,,Galarian Articuno,2,,Cryogonal,1,,Gligar,0,,Arrokuda,0,,Alolan Marowak,0,,,Jarv,Iron Valiant,X
,,,,,,,,,,,,,,,,,,,,,,,,,,Weavile,2,,Slowking,1,,Salamence,4,,Tyranitar,1,,Okidogi,2,,Sylveon,1,,Hisuian Lilligant,2,,Lucario,2,,Heracross,1,,Munkidori,2,,Galvantula,0,,Dachsbun,0,,Gurdurr,0,,Axew,0,,Alolan Raticate,0,,,Jarv,Iron Treads,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thundurus,1,,Sandy Shocks,2,,Uxie,0,,Pelipper,1,,Tentacruel,0,,Incineroar,1,,Mimikyu,0,,Magnezone,1,,Oricorio,2,,Granbull,0,,Dusclops,0,,Hisuian Sneasel,0,,Azurill,0,,Alolan Rattata,0,,,Jarv,Annihilape,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursaluna,2,,Scream Tail,1,,Volcanion,2,,Sinistcha,3,,Terrakion,1,,Lokix,3,,Mismagius,1,,Meloetta,1,,Piloswine,0,,Hisuian Typhlosion,2,,Farigiraf,0,,Illumise,0,,Bagon,0,,Amaura,0,,,Jarv,Uxie,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skarmory,0,,Zarude,B,,Swampert,0,,Toxapex,0,,Milotic,0,,Paldean Tauros (Water),1,,Mudsdale,1,,Politoed,0,,Hoopa,1,,Hisuian Decidueye,0,,Klawf,0,,Banette,0,,Anorith,0,,,Jarv,Araquanid,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volcarona,B,,,,,Talonflame,0,,Whimsicott,0,,Ninetales,0,,Pawmot,1,,Paldean Tauros (Fire),1,,Regidrago,2,,Houndstone,0,,Hitmonchan,0,,Komala,0,,Barboach,0,,Arceus,0,,,Jarv,Galarian Moltres,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reuniclus,2,,Porygon-Z,2,,Polteageist,3,,Registeel,2,,Indeedee,0,,Hitmontop,0,,Lapras,1,,Bastiodon,0,,Arceus-Bug,0,,,Jarv,Volcanion,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revavroom,3,,Qwilfish,0,,Porygon2,1,,Rotom,0,,Lanturn,0,,Iron Thorns,3,,Leavanny,0,,Bayleef,0,,Arceus-Dark,0,,,Jarv,Lycanroc-Dusk,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom-Heat,1,,Regieleki,B,,Quagsire,0,,Scrafty,1,,Magneton,0,,Jolteon,3,,Ludicolo,0,,Beldum,0,,Arceus-Dragon,0,,,Jarv,Hisuian Electrode,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaymin,0,,Rhyperior,2,,Ribombee,1,,Spiritomb,0,,Medicham,0,,Lycanroc-Midday,0,,Lurantis,0,,Bellossom,0,,Arceus-Electric,0,,,Jarv,Arbok,X
